47:  Para cada película, cuenta cuántos actores tienen el apellido de longitud >= 5.
film_id	title	actors_lastname_len5plus
96	BREAKING HOME	5
652	PAJAMA JAWBREAKER	4
743	ROOM ROMAN	2
793	SHRUNK DIVINE	4
205	DANCES NONE	3
646	OUTBREAK DIVINE	3
776	SECRET GROUNDHOG	3
916	TURN STAR	2
6	AGENT TRUMAN	6
434	HORROR REIGN	4
897	TORQUE BOUND	4
288	ESCAPE METROPOLIS	4
504	KWAI HOMEWARD	4
552	MAJESTIC FLOATS	5
621	NETWORK PEAK	3
723	REIGN GENTLEMEN	2
132	CHAINSAW UPTOWN	2
386	GUMP DATE	4
624	NIGHTMARE CHILL	1
690	POND SEATTLE	2
139	CHASING FIGHT	5
180	CONSPIRACY SPIRIT	3
46	AUTUMN CROW	2
97	BRIDE INTRIGUE	1
125	CASSIDY WYOMING	6
347	GAMES BOWFINGER	8
556	MALTESE HOPE	1
614	NAME DETECTIVE	3
751	RUNAWAY TENENBAUMS	3
515	LEGALLY SECRETARY	4
647	OUTFIELD MASSACRE	3
115	CAMPUS REMEMBER	3
321	FLASH WARS	5
124	CASPER DRAGONFLY	3
557	MANCHURIAN CURTAIN	2
514	LEBOWSKI SOLDIERS	2
497	KILL BROTHERHOOD	4
917	TUXEDO MILE	2
28	ANTHEM LUKE	2
704	PURE RUNNER	2
747	ROXANNE REBEL	3
804	SLEEPING SUSPECTS	4
848	STONE FIRE	1
902	TRADING PINOCCHIO	3
264	DWARFS ALTER	1
843	STEEL SANTA	1
414	HELLFIGHTERS SIERRA	9
419	HOCUS FRIDA	3
18	ALTER VICTORY	4
810	SLUMS DUCK	2
975	WILLOW TRACY	1
75	BIRD INDEPENDENCE	2
620	NEMO CAMPUS	5
627	NORTH TEQUILA	3
279	ELIZABETH SHANE	2
130	CELEBRITY HORN	4
285	ENGLISH BULWORTH	4
356	GIANT TROOPERS	1
903	TRAFFIC HOBBIT	4
535	LOVE SUICIDES	4
210	DARKO DORADO	3
214	DAUGHTER MADIGAN	2
300	FALCON VOLUME	4
50	BAKED CLEOPATRA	1
227	DETAILS PACKER	2
823	SOUTH WAIT	1
224	DESPERATE TRAINSPOTTING	3
240	DOLLS RAGE	1
943	VILLAIN DESPERATE	2
237	DIVORCE SHINING	6
563	MASSACRE USUAL	2
854	STRANGERS GRAFFITI	4
873	SWEETHEARTS SUSPECTS	5
671	PERDITION FARGO	3
149	CHRISTMAS MOONSHINE	2
30	ANYTHING SAVANNAH	2
397	HANKY OCTOBER	2
733	RIVER OUTLAW	4
762	SASSY PACKER	3
974	WILD APOLLO	3
325	FLOATS GARDEN	5
741	ROMAN PUNK	2
337	FRIDA SLIPPER	3
302	FANTASIA PARK	2
350	GARDEN ISLAND	3
887	THIEF PELICAN	4
76	BIRDCAGE CASPER	2
718	REBEL AIRPORT	2
270	EARTH VISION	1
594	MONTEZUMA COMMAND	1
950	VOLUME HOUSE	1
281	ENCINO ELF	2
701	PSYCHO SHRUNK	1
524	LION UNCUT	2
357	GILBERT PELICAN	3
328	FOREVER CANDIDATE	1
481	JEKYLL FROGMEN	3
575	MIDSUMMER GROUNDHOG	2
813	SMOOCHY CONTROL	2
308	FERRIS MOTHER	1
368	GONE TROUBLE	2
883	TEQUILA PAST	1
937	VARSITY TRIP	3
653	PANIC CLUB	2
630	NOTTING SPEAKEASY	2
837	STAGE WORLD	1
110	CABIN FLASH	2
681	PIRATES ROXANNE	1
45	ATTRACTION NEWTON	1
228	DETECTIVE VISION	2
422	HOLLOW JEOPARDY	1

