33:  Para cada película, cuenta cuántos alquileres se han hecho de sus copias.
film_id	title	rentals_of_film
920	UNBREAKABLE KARATE	21
921	UNCUT SUICIDES	14
922	UNDEFEATED DALMATIONS	21
923	UNFAITHFUL KILL	8
924	UNFORGIVEN ZOOLANDER	18
925	UNITED PILOT	17
926	UNTOUCHABLES SUNRISE	8
927	UPRISING UPTOWN	16
928	UPTOWN YOUNG	12
929	USUAL UNTOUCHABLES	13
930	VACATION BOONDOCK	21
931	VALENTINE VANISHING	12
932	VALLEY PACKER	15
933	VAMPIRE WHALE	12
934	VANILLA DAY	9
935	VANISHED GARDEN	7
936	VANISHING ROCKY	18
937	VARSITY TRIP	16
938	VELVET TERMINATOR	26
939	VERTIGO NORTHWEST	8
940	VICTORY ACADEMY	9
941	VIDEOTAPE ARSENIC	29
942	VIETNAM SMOOCHY	15
944	VIRGIN DAISY	17
945	VIRGINIAN PLUTO	29
946	VIRTUAL SPOILERS	14
947	VISION TORQUE	7
948	VOICE PEACH	19
949	VOLCANO TEXAS	22
951	VOYAGE LEGALLY	28
952	WAGON JAWS	10
953	WAIT CIDER	21
956	WANDA CHAMBER	16
957	WAR NOTTING	12
958	WARDROBE PHANTOM	27
959	WARLOCK WEREWOLF	6
960	WARS PLUTO	10
961	WASH HEAVENLY	23
962	WASTELAND DIVINE	15
963	WATCH TRACY	16
964	WATERFRONT DELIVERANCE	17
965	WATERSHIP FRONTIER	6
966	WEDDING APOLLO	24
967	WEEKEND PERSONAL	18
968	WEREWOLF LOLA	14
969	WEST LION	16
970	WESTWARD SEABISCUIT	26
971	WHALE BIKINI	18
972	WHISPERER GIANT	22
973	WIFE TURN	31
974	WILD APOLLO	6
975	WILLOW TRACY	16
976	WIND PHANTOM	23
977	WINDOW SIDE	12
978	WISDOM WORKER	9
979	WITCHES PANIC	30
980	WIZARD COLDBLOODED	16
981	WOLVES DESIRE	21
982	WOMEN DORADO	23
983	WON DARES	9
984	WONDERFUL DROP	9
985	WONDERLAND CHRISTMAS	22
986	WONKA SEA	18
987	WORDS HUNTER	16
988	WORKER TARZAN	15
989	WORKING MICROCOSMOS	25
990	WORLD LEATHERNECKS	8
991	WORST BANGER	16
992	WRATH MILE	14
993	WRONG BEHAVIOR	20
994	WYOMING STORM	13
995	YENTL IDAHO	23
996	YOUNG LANGUAGE	7
997	YOUTH KICK	6
998	ZHIVAGO CORE	9
999	ZOOLANDER FICTION	17
1000	ZORRO ARK	31

